p_1;p_2;p_3;p_4;p_5;p_6;p_7;p_8;p_9;p_10;p_11;p_12;p_13;p_14;p_15;p_16;p_17;p_18;p_19;p_20;p_21;p_22;p_23;p_24;p_25;p_26;p_27;p_28;p_29;p_30;p_31;p_32;p_33;p_34;p_35
-3,2823;-3,388691;-3,904448;-3,39074;-3,47117;-3,504564;-4,725274;-3,362558;-2,972853;-3,194489;-3,748377;-3,685242;-2,956675;-3,230022;-3,893947;-3,355684;-2,914937;-2,947339;-4,248609;-3,904973;-3,849456;-3,960969;-3,534063;-3,542178;-3,55038;-4,057054;-3,927125;-3,554075;-3,262451;-3,902754;-3,892837;-4,341445;-4,246131;-4,237504;-3,439774
-3,464626;-3,553489;-4,021905;-3,547816;-3,553607;-3,656913;-4,81806;-3,539491;-3,182185;-3,371241;-3,911067;-3,848027;-3,186073;-3,401773;-4,085388;-3,521565;-3,143504;-3,163536;-4,394964;-4,043135;-4,02841;-4,113069;-3,728717;-3,724587;-3,707764;-4,230413;-4,121439;-3,743365;-3,45531;-4,07535;-4,077721;-4,4933;-4,363408;-4,40358;-3,604403
-3,646177;-3,691786;-4,128885;-3,723029;-3,638363;-3,801021;-4,858431;-3,675935;-3,349144;-3,553461;-4,061749;-3,978759;-3,370569;-3,55492;-4,240384;-3,672351;-3,32823;-3,360824;-4,49364;-4,141499;-4,190668;-4,239347;-3,885153;-3,883685;-3,848008;-4,35759;-4,289847;-3,921765;-3,639048;-4,217736;-4,238839;-4,594489;-4,456708;-4,500954;-3,746916
-3,794734;-3,836773;-4,230287;-3,870855;-3,705412;-3,93806;-4,83134;-3,807087;-3,504133;-3,706303;-4,166455;-4,095055;-3,540603;-3,711206;-4,360507;-3,829531;-3,512375;-3,540604;-4,602011;-4,2201;-4,331599;-4,348508;-4,024624;-4,011598;-3,948596;-4,456273;-4,434944;-4,078485;-3,782631;-4,36761;-4,362547;-4,619289;-4,498409;-4,561142;-3,878438
-3,916631;-3,934954;-4,285137;-3,980257;-3,764278;-4,035989;-4,743369;-3,908426;-3,618305;-3,847113;-4,239067;-4,165124;-3,655966;-3,829604;-4,436924;-3,955194;-3,654763;-3,709759;-4,671843;-4,264175;-4,419858;-4,405796;-4,104614;-4,120492;-4,037328;-4,514777;-4,54537;-4,190404;-3,909954;-4,457068;-4,471106;-4,633075;-4,504035;-4,611178;-3,998054
-4,005075;-4,016362;-4,28513;-4,062604;-3,777913;-4,098047;-4,630549;-3,996824;-3,716071;-3,945821;-4,283133;-4,195172;-3,750754;-3,924268;-4,492864;-4,047449;-3,785176;-3,83863;-4,689781;-4,287769;-4,468283;-4,415345;-4,154041;-4,203407;-4,108351;-4,563113;-4,622099;-4,266595;-3,990093;-4,501385;-4,536898;-4,61825;-4,457067;-4,60764;-4,079118
-4,031296;-4,06371;-4,250834;-4,107965;-3,714596;-4,08138;-4,412366;-4,046784;-3,797839;-4,020624;-4,280261;-4,163854;-3,809423;-3,977665;-4,481377;-4,09997;-3,866521;-3,957728;-4,662066;-4,273049;-4,468414;-4,351894;-4,164906;-4,24006;-4,111176;-4,557587;-4,640618;-4,303495;-4,054084;-4,499443;-4,578218;-4,545303;-4,36483;-4,534893;-4,122749
-4,027823;-4,059653;-4,087471;-4,105691;-3,567713;-4,043009;-4,129357;-4,054922;-3,847413;-4,050302;-4,224792;-4,054237;-3,871813;-3,966446;-4,424759;-4,097715;-3,932182;-4,028972;-4,525515;-4,199912;-4,406094;-4,210183;-4,142521;-4,220409;-4,043082;-4,465892;-4,608008;-4,304037;-4,084222;-4,451902;-4,577358;-4,368922;-4,185585;-4,383288;-4,126963
-3,958705;-4,016854;-3,927182;-3,996166;-3,38711;-3,959997;-3,959724;-3,964692;-3,855677;-4,009046;-4,070711;-3,875933;-3,861589;-3,890088;-4,251206;-4,032329;-3,941611;-4,03222;-4,257545;-4,0481;-4,224406;-3,996804;-4,06939;-4,141541;-3,898246;-4,246252;-4,459421;-4,252722;-4,072272;-4,293582;-4,490957;-4,095765;-3,898956;-4,128839;-4,029004
-3,831296;-3,843107;-3,854022;-3,837601;-3,264394;-3,797599;-3,869073;-3,757115;-3,762926;-3,905739;-3,891217;-3,703696;-3,744452;-3,767437;-4,06202;-3,877127;-3,860377;-3,961796;-4,070859;-3,803254;-4,034874;-3,877176;-3,864984;-3,945918;-3,714899;-4,090655;-4,215668;-4,120244;-3,981859;-4,089231;-4,260455;-3,964547;-3,768294;-4,01066;-3,816832
-3,649067;-3,651515;-3,829845;-3,793278;-3,174899;-3,6147;-3,81462;-3,653375;-3,636297;-3,762929;-3,822414;-3,629258;-3,587638;-3,582519;-3,994283;-3,696255;-3,715308;-3,816515;-4,002966;-3,686188;-3,969431;-3,83109;-3,78336;-3,851183;-3,649682;-4,031271;-4,11246;-3,910258;-3,795405;-4,007661;-4,159701;-3,911029;-3,701145;-3,950486;-3,713935
-3,577239;-3,600605;-3,80652;-3,79017;-3,110453;-3,538119;-3,772679;-3,622859;-3,600793;-3,704507;-3,798767;-3,589324;-3,552642;-3,502072;-3,960939;-3,654235;-3,661887;-3,731914;-3,975408;-3,61714;-3,945954;-3,796809;-3,763761;-3,813653;-3,622097;-4,005477;-4,075469;-3,84136;-3,723207;-3,97432;-4,105546;-3,872781;-3,657516;-3,919336;-3,695479
-3,55187;-3,594569;-3,800514;-3,781537;-3,05854;-3,515831;-3,714744;-3,604;-3,591132;-3,686025;-3,788763;-3,562453;-3,560689;-3,487652;-3,948394;-3,650563;-3,654736;-3,724334;-3,937878;-3,571647;-3,922591;-3,77569;-3,747546;-3,798447;-3,615618;-3,995438;-4,064884;-3,819452;-3,706875;-3,956929;-4,088621;-3,84214;-3,617429;-3,894186;-3,695695
-3,533891;-3,584735;-3,773709;-3,78894;-3,00909;-3,506063;-3,662375;-3,608343;-3,59305;-3,684461;-3,778789;-3,543988;-3,573824;-3,471395;-3,937657;-3,654867;-3,65485;-3,744905;-3,901983;-3,543203;-3,910548;-3,754037;-3,731413;-3,790852;-3,608551;-3,968432;-4,058059;-3,81486;-3,711038;-3,951229;-4,06808;-3,808612;-3,578617;-3,85087;-3,690148
-3,518291;-3,57131;-3,752146;-3,805925;-2,951943;-3,48166;-3,605487;-3,60936;-3,593036;-3,683932;-3,77225;-3,520121;-3,588781;-3,461938;-3,921335;-3,657821;-3,673251;-3,752031;-3,881511;-3,507905;-3,894531;-3,700553;-3,724859;-3,777341;-3,597131;-3,969388;-4,056001;-3,796713;-3,711146;-3,92875;-4,063746;-3,77236;-3,534463;-3,818842;-3,688346
-3,500597;-3,560023;-3,709555;-3,795695;-2,895993;-3,453159;-3,528339;-3,60501;-3,587504;-3,669679;-3,748998;-3,498875;-3,581165;-3,44225;-3,887356;-3,649654;-3,680295;-3,771868;-3,839455;-3,46664;-3,884296;-3,651765;-3,712253;-3,763597;-3,590812;-3,946883;-4,033248;-3,800046;-3,703703;-3,909055;-4,04026;-3,727073;-3,477526;-3,771193;-3,683839
-3,485572;-3,523921;-3,652078;-3,789508;-2,815488;-3,409916;-3,453032;-3,58668;-3,581139;-3,662761;-3,713459;-3,457973;-3,567691;-3,399381;-3,860957;-3,62235;-3,671867;-3,771438;-3,798902;-3,429211;-3,840197;-3,580771;-3,677631;-3,734985;-3,581744;-3,913252;-4,010213;-3,769915;-3,706784;-3,885143;-4,017989;-3,672449;-3,426756;-3,713427;-3,66922
-3,432741;-3,492983;-3,592437;-3,758207;-2,727786;-3,357259;-3,3612;-3,561473;-3,551259;-3,624902;-3,683029;-3,403137;-3,532504;-3,35809;-3,81432;-3,584941;-3,659848;-3,76965;-3,74973;-3,377902;-3,794939;-3,506442;-3,638694;-3,692784;-3,551138;-3,863339;-3,979948;-3,749163;-3,685702;-3,845311;-3,977857;-3,608915;-3,350689;-3,64369;-3,649517
-3,391639;-3,451922;-3,522921;-3,724582;-2,631874;-3,286623;-3,27087;-3,52773;-3,510739;-3,583626;-3,623989;-3,319006;-3,494838;-3,299741;-3,757229;-3,542974;-3,61808;-3,75132;-3,679562;-3,305193;-3,739686;-3,411299;-3,594527;-3,631395;-3,510065;-3,798818;-3,937109;-3,705201;-3,667489;-3,803347;-3,932386;-3,520158;-3,279744;-3,583454;-3,612802
-3,323033;-3,392343;-3,407645;-3,676101;-2,526569;-3,223422;-3,162642;-3,474089;-3,460305;-3,533124;-3,529692;-3,235535;-3,437912;-3,236718;-3,687343;-3,478629;-3,572201;-3,719706;-3,61533;-3,230519;-3,668187;-3,297286;-3,514157;-3,571839;-3,461119;-3,718537;-3,875932;-3,66196;-3,626158;-3,727135;-3,858352;-3,427321;-3,162875;-3,494565;-3,563581
-3,259203;-3,308635;-3,309744;-3,600794;-2,413036;-3,136519;-3,043964;-3,406714;-3,38244;-3,463731;-3,43819;-3,131326;-3,368074;-3,142046;-3,609576;-3,401175;-3,503826;-3,669699;-3,524275;-3,135264;-3,592531;-3,169133;-3,414557;-3,481858;-3,401706;-3,624491;-3,795207;-3,59858;-3,561922;-3,654444;-3,793268;-3,328239;-3,053253;-3,40263;-3,487235
-3,166467;-3,226128;-3,167577;-3,518891;-2,278867;-3,028732;-2,901298;-3,342613;-3,277661;-3,377561;-3,334129;-3,021821;-3,277165;-3,048031;-3,488377;-3,301527;-3,424117;-3,602146;-3,411507;-3,032418;-3,479786;-3,037137;-3,308655;-3,383483;-3,307427;-3,520953;-3,698998;-3,512589;-3,495421;-3,537385;-3,705059;-3,226427;-2,934119;-3,300275;-3,409598
-3,062051;-3,117941;-3,032626;-3,415476;-2,148184;-2,904853;-2,75848;-3,220147;-3,17116;-3,268193;-3,212018;-2,886755;-3,18015;-2,92191;-3,368684;-3,182375;-3,319555;-3,499604;-3,300843;-2,922831;-3,34701;-2,890149;-3,193981;-3,255105;-3,219565;-3,401324;-3,58593;-3,404358;-3,406943;-3,411654;-3,608396;-3,116064;-2,806608;-3,183601;-3,331085
-2,945561;-3,005396;-2,875076;-3,288001;-1,980587;-2,771841;-2,568987;-3,11062;-3,047643;-3,149678;-3,082431;-2,739441;-3,063911;-2,782626;-3,238137;-3,050879;-3,202211;-3,398078;-3,147429;-2,787083;-3,228665;-2,717916;-3,054994;-3,126978;-3,110542;-3,260148;-3,45693;-3,28133;-3,300455;-3,271884;-3,480711;-2,967779;-2,67168;-3,019424;-3,220176
-2,806084;-2,839907;-2,709008;-3,151722;-1,812361;-2,625428;-2,394961;-2,96506;-2,909472;-3,028669;-2,919339;-2,584825;-2,922227;-2,611536;-3,082625;-2,902523;-3,044523;-3,27751;-2,959052;-2,635708;-3,076479;-2,529622;-2,895871;-2,980824;-2,95078;-3,094193;-3,325408;-3,1653;-3,185853;-3,126384;-3,332496;-2,799786;-2,516425;-2,857863;-3,070862
-2,628413;-2,651035;-2,502965;-2,994091;-1,620238;-2,460915;-2,167166;-2,796125;-2,741771;-2,846137;-2,739922;-2,386908;-2,776351;-2,472616;-2,886319;-2,729989;-2,882854;-3,123551;-2,774729;-2,473689;-2,89218;-2,318681;-2,716789;-2,813973;-2,762371;-2,913186;-3,152181;-3,021385;-3,043036;-2,947962;-3,166932;-2,595216;-2,33291;-2,65856;-2,90052
-2,419435;-2,459115;-2,265131;-2,808468;-1,413291;-2,264866;-1,900021;-2,594567;-2,553579;-2,641581;-2,519732;-2,196567;-2,574074;-2,296746;-2,672534;-2,544408;-2,705213;-2,94554;-2,560298;-2,278446;-2,678964;-2,051285;-2,501945;-2,608579;-2,556134;-2,686288;-2,950583;-2,852116;-2,870083;-2,739683;-2,937013;-2,379475;-2,101255;-2,457912;-2,728193
-2,213879;-2,239997;-1,974734;-2,590572;-1,185589;-2,035672;-1,660265;-2,348202;-2,351531;-2,433726;-2,252705;-1,940843;-2,342565;-2,066826;-2,419608;-2,322108;-2,479945;-2,746397;-2,277978;-2,032325;-2,437894;-1,741202;-2,250595;-2,388323;-2,316213;-2,433384;-2,714112;-2,65066;-2,663159;-2,498705;-2,698224;-2,090344;-1,823755;-2,1875;-2,506238
-1,968841;-1,989095;-1,677439;-2,312736;-0,9678761;-1,77631;-1,464882;-2,074035;-2,11241;-2,19103;-1,893903;-1,641422;-2,096018;-1,851934;-2,079808;-2,029691;-2,237351;-2,496687;-2,012394;-1,720659;-2,126503;-1,459646;-1,961745;-2,125547;-2,016972;-2,097985;-2,429711;-2,359979;-2,420238;-2,195846;-2,42146;-1,79931;-1,579295;-1,908131;-2,208713
-1,672191;-1,697634;-1,432821;-2,006407;-0,7836127;-1,50294;-1,27092;-1,786599;-1,819284;-1,882638;-1,586963;-1,393644;-1,795144;-1,575137;-1,792341;-1,686164;-1,963328;-2,200742;-1,761133;-1,493304;-1,83691;-1,228878;-1,680909;-1,798825;-1,760784;-1,809147;-2,097259;-1,986554;-2,076414;-1,909045;-2,091827;-1,571277;-1,367884;-1,690754;-1,888764
-1,429923;-1,455209;-1,19475;-1,70368;-0,6057833;-1,271199;-1,079382;-1,554739;-1,52822;-1,593894;-1,379215;-1,179502;-1,50493;-1,326308;-1,559602;-1,409111;-1,655831;-1,881608;-1,519668;-1,303881;-1,589736;-1,009915;-1,440747;-1,541224;-1,542045;-1,517861;-1,829386;-1,714299;-1,811765;-1,667133;-1,81943;-1,372943;-1,161102;-1,473219;-1,632115
-1,227986;-1,23477;-0,9255739;-1,453429;-0,4456108;-1,024326;-0,8587233;-1,324665;-1,249583;-1,343972;-1,152753;-0,9590322;-1,246886;-1,09706;-1,325642;-1,165187;-1,391887;-1,6062;-1,305311;-1,097106;-1,363258;-0,7844271;-1,221217;-1,311353;-1,33547;-1,259149;-1,588707;-1,471911;-1,574916;-1,429939;-1,575757;-1,164237;-0,973847;-1,245781;-1,394825
-1,031786;-1,022997;-0,683011;-1,20447;-0,2889464;-0,80098;-0,636083;-1,132251;-0,9779599;-1,111067;-0,8877697;-0,7363994;-0,9973007;-0,8587034;-1,051981;-0,9158174;-1,136565;-1,354262;-1,086772;-0,898132;-1,097429;-0,5774162;-0,9811175;-1,084607;-1,125672;-1,049086;-1,343884;-1,241048;-1,312193;-1,196953;-1,333816;-0,9576497;-0,8011731;-1,035183;-1,179653
-0,798654;-0,8070064;-0,4404671;-0,9285179;-0,1183425;-0,5871769;-0,4253131;-0,9022462;-0,7372646;-0,8742939;-0,6516531;-0,5089547;-0,7502583;-0,631587;-0,7792612;-0,6897796;-0,8797958;-1,095115;-0,8618739;-0,6923387;-0,8366115;-0,3488034;-0,7236546;-0,8428686;-0,9156176;-0,8135747;-1,097911;-1,010132;-1,08095;-0,9537646;-1,089208;-0,7164637;-0,5967408;-0,8134895;-0,9476144
-0,5651296;-0,5746918;-0,1601559;-0,6464056;0,04664654;-0,3375637;-0,2209187;-0,6363444;-0,4957113;-0,6422731;-0,4065296;-0,2918245;-0,4941193;-0,4027531;-0,5197506;-0,4532841;-0,6277834;-0,8398591;-0,617897;-0,4903871;-0,5797157;-0,1206068;-0,4474913;-0,611274;-0,6885046;-0,5321968;-0,8449119;-0,7811148;-0,8416598;-0,6853287;-0,8360225;-0,4986084;-0,3937792;-0,5748206;-0,7186536
-0,3448921;-0,3333899;0,09269193;-0,3899522;0,2173918;-0,09796959;-0,005694777;-0,3806891;-0,235433;-0,410699;-0,149488;-0,04851522;-0,2386826;-0,1797915;-0,2588881;-0,1891128;-0,3664723;-0,5715818;-0,3739765;-0,2739045;-0,3251119;0,09587762;-0,2072242;-0,3645241;-0,4456325;-0,2758621;-0,5494774;-0,5324689;-0,6056705;-0,394889;-0,5891389;-0,293645;-0,1885888;-0,3481707;-0,480427
-0,1213744;-0,09271666;0,3567589;-0,1302254;0,4052884;0,1473045;0,2138759;-0,1141125;0,02227664;-0,1531904;0,1186887;0,2309852;0,0175612;0,04974145;-0,00209707;0,06929743;-0,1131057;-0,2863192;-0,1278647;-0,05576109;-0,05512217;0,3403612;0,04627809;-0,09800464;-0,1945212;-0,0124653;-0,2867253;-0,2803307;-0,355687;-0,1539442;-0,3408326;-0,04167593;0,05167106;-0,1049804;-0,2289377
0,1135754;0,166596;0,6264958;0,1414918;0,570705;0,3800515;0,4466855;0,1576184;0,2774715;0,09924912;0,3899923;0,4738667;0,2690866;0,2683341;0,2530113;0,334864;0,1735101;-0,009379864;0,1284148;0,1608014;0,2098873;0,5809501;0,3028049;0,1529504;0,06895693;0,2606049;-0,0150056;-0,02608442;-0,1071937;0,08723442;-0,07573304;0,2233362;0,3049388;0,157989;0,02944973
0,3522914;0,4293864;0,8958898;0,4093103;0,7632101;0,6138753;0,6787205;0,4270832;0,5361804;0,3767313;0,6588613;0,7201664;0,5412259;0,5139218;0,5200181;0,5983969;0,4356526;0,2930123;0,381638;0,402438;0,4799663;0,809379;0,56279;0,4486161;0,3407184;0,5521327;0,3066644;0,2331159;0,1540765;0,3557691;0,1859365;0,4891879;0,5685934;0,430526;0,2979823
0,6381969;0,6859659;1,150228;0,6773853;0,9508277;0,8586185;0,9248514;0,6921461;0,7912117;0,6467966;0,9385861;0,9429476;0,8149544;0,7705567;0,7985435;0,8678486;0,7092348;0,5982261;0,6571364;0,6581174;0,7542125;1,033262;0,8424821;0,7614918;0,6000485;0,8313138;0,599788;0,4986084;0,4185238;0,6337598;0,4797153;0,743538;0,8117031;0,6926892;0,5795405
0,9238327;0,9427027;1,405205;0,9615958;1,122542;1,095592;1,167247;0,951143;1,061777;0,9453104;1,212186;1,191136;1,081951;1,037683;1,072893;1,142566;1,008392;0,9180804;0,915679;0,8943734;1,036893;1,252423;1,124352;1,035642;0,89221;1,135421;0,8922161;0,7608436;0,6932799;0,9133893;0,7659351;1,005455;1,052596;0,9456037;0,8527744
1,179266;1,217271;1,674471;1,262264;1,29818;1,329224;1,410664;1,223536;1,33819;1,239203;1,491058;1,457757;1,366159;1,303352;1,358458;1,404201;1,313791;1,197395;1,192833;1,128175;1,322057;1,486185;1,395321;1,297469;1,16125;1,409397;1,18395;1,060588;0,9932743;1,242158;1,075161;1,294134;1,302578;1,209744;1,167091
1,426381;1,52116;1,935612;1,548526;1,459659;1,57004;1,643399;1,487399;1,597198;1,486707;1,756877;1,719934;1,664457;1,532819;1,641475;1,671081;1,613129;1,494993;1,457954;1,368655;1,622913;1,675579;1,667431;1,585509;1,432752;1,697886;1,471735;1,346244;1,279927;1,521491;1,364325;1,55618;1,544126;1,482199;1,476349
1,639662;1,815325;2,196578;1,843705;1,637409;1,798063;1,891292;1,761603;1,86413;1,749276;2,06461;1,997904;1,945386;1,769749;1,93723;1,924417;1,90991;1,797395;1,737448;1,615918;1,899014;1,882823;1,93027;1,859079;1,745461;1,986993;1,765427;1,629985;1,558385;1,797325;1,648742;1,824764;1,795292;1,729807;1,764773
1,874305;2,066802;2,46356;2,124282;1,816634;2,034814;2,122434;2,044752;2,141667;2,014693;2,341114;2,255027;2,204084;2,012951;2,22897;2,215755;2,192289;2,101157;2,010876;1,915941;2,183477;2,112731;2,197892;2,113602;2,028687;2,263577;2,052699;1,953952;1,83946;2,076382;1,988443;2,093459;2,049893;2,008052;2,038142
2,135969;2,341496;2,730655;2,406704;1,953963;2,245862;2,353189;2,348804;2,397492;2,284941;2,579291;2,499492;2,523587;2,250692;2,498653;2,512293;2,448119;2,388234;2,303099;2,163453;2,465663;2,323097;2,46556;2,377922;2,314712;2,550076;2,347402;2,197078;2,12346;2,348352;2,269897;2,352606;2,295085;2,268143;2,321758
2,382452;2,593317;2,960636;2,669237;2,093977;2,458888;2,579594;2,665859;2,639837;2,546348;2,859095;2,709575;2,777025;2,468606;2,775574;2,752885;2,698433;2,676157;2,584518;2,415129;2,718841;2,496582;2,701497;2,622447;2,577259;2,848216;2,618379;2,456907;2,402296;2,618221;2,54505;2,602322;2,527193;2,533528;2,580335
2,620937;2,838359;3,198841;2,916078;2,219171;2,705094;2,820246;2,912553;2,856053;2,783973;3,119248;2,912202;3,027393;2,710797;3,028617;3,000434;2,928503;2,917593;2,846583;2,685787;2,987821;2,671823;2,951726;2,864676;2,846149;3,101687;2,904987;2,729749;2,668739;2,882854;2,825335;2,855467;2,762585;2,797635;2,844962
2,841855;3,067742;3,419672;3,179055;2,335046;2,937727;3,032499;3,148973;3,083746;3,002853;3,345521;3,147225;3,247255;2,918631;3,282619;3,217817;3,179719;3,185992;3,103215;2,90857;3,221273;2,829475;3,194113;3,104227;3,082161;3,317558;3,170328;2,973309;2,987587;3,142934;3,090651;3,133277;2,972809;3,06363;3,112664
3,04317;3,273886;3,632408;3,424247;2,438788;3,131479;3,230921;3,389973;3,287991;3,208795;3,572706;3,348481;3,4561;3,105579;3,548943;3,432472;3,414768;3,419003;3,334987;3,122018;3,504128;2,95988;3,405595;3,320774;3,333755;3,584054;3,437942;3,250146;3,273189;3,382255;3,339065;3,384135;3,194255;3,332527;3,355527
3,248074;3,457166;3,859212;3,620104;2,542744;3,311405;3,401937;3,60722;3,463491;3,432882;3,768752;3,54353;3,625402;3,275579;3,78542;3,59721;3,610384;3,684399;3,551477;3,323667;3,727653;3,078132;3,61886;3,531428;3,573961;3,804777;3,660812;3,473847;3,511937;3,6145;3,576689;3,602914;3,394535;3,55636;3,590521
3,428795;3,658058;4,026362;3,842081;2,650025;3,464276;3,564285;3,812772;3,6485;3,60524;3,955932;3,741306;3,818742;3,428698;3,992553;3,777139;3,803047;3,890527;3,761568;3,524891;3,943952;3,203177;3,828471;3,770474;3,788373;4,015525;3,906662;3,703745;3,733745;3,817882;3,78587;3,795102;3,58168;3,748197;3,792032
3,58476;3,835151;4,162463;4,061016;2,706637;3,605372;3,727615;4,005224;3,784612;3,78163;4,12156;3,899395;3,975328;3,555474;4,180089;3,930264;3,957831;4,085661;3,94075;3,693953;4,153502;3,286719;4,012534;3,951324;3,972513;4,204828;4,117163;3,897922;3,933807;4,010933;3,994289;3,975063;3,751906;3,936096;3,994319
3,726132;4,005921;4,286908;4,212184;2,783333;3,724886;3,842715;4,179183;3,91129;3,925469;4,27011;4,015844;4,1195;3,691309;4,321374;4,061259;4,103243;4,24027;4,105018;3,867762;4,33205;3,356604;4,154227;4,09717;4,157281;4,370261;4,290782;4,091081;4,125477;4,206128;4,199237;4,144888;3,898183;4,101202;4,168531
3,857232;4,134585;4,375138;4,349998;2,835705;3,827027;3,950351;4,32244;3,975935;4,071509;4,379111;4,110472;4,258948;3,811358;4,463346;4,197431;4,258247;4,389051;4,263453;4,012559;4,449544;3,397252;4,295658;4,217658;4,302957;4,511579;4,47401;4,248633;4,299079;4,371016;4,363864;4,283778;4,043242;4,253449;4,326794
3,961393;4,26877;4,445432;4,434109;2,862173;3,9031;4,034016;4,441989;4,049679;4,161278;4,484856;4,200293;4,357149;3,913256;4,57319;4,278865;4,349645;4,509329;4,392138;4,130372;4,573377;3,418701;4,393432;4,342216;4,436411;4,618242;4,616185;4,384906;4,456264;4,494802;4,491456;4,403946;4,160311;4,368115;4,452472
4,066486;4,356098;4,484136;4,516481;2,872738;3,971376;4,088447;4,534734;4,107795;4,24248;4,556561;4,261892;4,431854;3,97335;4,650328;4,363661;4,456624;4,623343;4,491026;4,223928;4,653286;3,417773;4,47106;4,427376;4,564157;4,706046;4,733766;4,505943;4,568716;4,596018;4,623651;4,495913;4,23696;4,462456;4,554593
4,133654;4,412413;4,495307;4,580648;2,859376;4,0119;4,103746;4,607763;4,148807;4,296464;4,604492;4,30356;4,464083;4,024389;4,724158;4,39156;4,499917;4,720118;4,554239;4,304482;4,723696;3,394166;4,525239;4,503196;4,651816;4,753357;4,830118;4,595869;4,658659;4,665231;4,703377;4,553208;4,285369;4,532577;4,644962
4,167608;4,436962;4,46363;4,629497;2,845192;4,040495;4,088524;4,654854;4,170652;4,329618;4,60784;4,316266;4,484622;4,05051;4,747226;4,422585;4,522581;4,748139;4,591749;4,348409;4,765095;3,354248;4,535446;4,538699;4,696817;4,776105;4,880214;4,661713;4,711846;4,694857;4,765337;4,57612;4,295184;4,555465;4,703837
4,145814;4,439535;4,384431;4,610178;2,778572;4,02142;4,034763;4,664367;4,148985;4,341811;4,595032;4,299239;4,460294;4,031105;4,746394;4,377234;4,520971;4,767791;4,595781;4,366202;4,759786;3,275875;4,52031;4,537592;4,705336;4,755133;4,894708;4,690108;4,766755;4,69719;4,785725;4,556388;4,27804;4,541301;4,709839
4,115417;4,403785;4,256052;4,559654;2,693344;3,961702;3,895768;4,623296;4,117956;4,311864;4,50125;4,246075;4,420403;3,982686;4,69037;4,313865;4,472448;4,72614;4,550469;4,335317;4,707749;3,17844;4,44545;4,496854;4,655199;4,705568;4,854463;4,688336;4,769336;4,664236;4,768093;4,479424;4,192854;4,486695;4,652745
4,037971;4,312042;3,99356;4,446613;2,552327;3,846845;3,664477;4,52159;4,021364;4,225054;4,356714;4,105755;4,310254;3,899566;4,573395;4,191379;4,370234;4,646868;4,430591;4,243669;4,584464;2,995893;4,336677;4,40594;4,548523;4,536445;4,779835;4,624811;4,736393;4,565388;4,708222;4,330077;4,026866;4,341023;4,557104
3,904133;4,116195;3,762718;4,247706;2,355033;3,677927;3,551761;4,370018;3,870156;4,08118;4,108987;3,847881;4,114627;3,763794;4,353177;4,010157;4,213439;4,531504;4,154746;4,032824;4,348306;2,710657;4,14032;4,237537;4,350466;4,237384;4,611082;4,496799;4,647208;4,360988;4,528299;4,038504;3,805304;4,081457;4,36902
3,681445;3,835609;3,633846;3,970444;2,236851;3,443039;3,49933;4,093044;3,586582;3,833333;3,840167;3,634006;3,847198;3,527877;4,077814;3,706633;3,979239;4,334414;3,953689;3,811074;4,071415;2,537832;3,864662;3,941823;4,070586;4,006559;4,304223;4,271593;4,43699;4,074289;4,254137;3,907592;3,704133;3,946566;4,08361
3,43779;3,656094;3,564826;3,83637;2,163628;3,255751;3,475207;3,887796;3,310303;3,588521;3,723339;3,536197;3,603133;3,278294;3,942656;3,496539;3,690373;4,016516;3,869423;3,698808;3,948573;2,445749;3,724629;3,749604;3,933453;3,901817;4,104333;4,021096;4,165513;3,946708;4,046985;3,850741;3,660321;3,890011;3,914129
3,314831;3,559996;3,51842;3,741807;2,107906;3,144057;3,465872;3,782495;3,153665;3,457039;3,648937;3,474673;3,470018;3,144037;3,853021;3,387283;3,508294;3,78392;3,81597;3,636991;3,885444;2,381874;3,62867;3,6396;3,881028;3,840101;4,007232;3,910125;4,017033;3,876967;3,953001;3,818829;3,640154;3,846727;3,829712
3,242089;3,503461;3,476461;3,678402;2,070495;3,070017;3,451312;3,732151;3,063632;3,371983;3,594797;3,426767;3,379731;3,059763;3,803718;3,299374;3,409288;3,665758;3,779985;3,613237;3,82793;2,329948;3,572153;3,574556;3,832795;3,799181;3,949246;3,852261;3,931707;3,818544;3,897641;3,801797;3,618468;3,814835;3,76738
3,190318;3,443948;3,450126;3,629295;2,032822;3,019041;3,440088;3,682539;2,993819;3,311841;3,558084;3,386393;3,306894;3,000989;3,76508;3,241593;3,329169;3,580167;3,753975;3,577465;3,777444;2,285685;3,523369;3,515759;3,803327;3,764001;3,895158;3,800929;3,891688;3,774139;3,861227;3,782393;3,6111;3,794528;3,711395
3,153772;3,411832;3,427876;3,584577;2,007921;2,998802;3,427548;3,65322;2,935184;3,273617;3,51715;3,357121;3,246349;2,952496;3,727561;3,193698;3,254315;3,517819;3,727946;3,569434;3,731409;2,243301;3,487062;3,471341;3,784801;3,730483;3,85786;3,776692;3,859838;3,745647;3,834999;3,763882;3,59658;3,784601;3,680763
3,11829;3,369263;3,406204;3,547438;1,984311;2,960804;3,411623;3,602223;2,874547;3,219412;3,477499;3,32348;3,203356;2,919139;3,695441;3,158464;3,201325;3,453888;3,705416;3,544147;3,707468;2,214534;3,444285;3,427716;3,763988;3,701527;3,817731;3,72912;3,815987;3,720427;3,804118;3,749803;3,585635;3,766958;3,641037
