p_1;p_2;p_3;p_4;p_5;p_6;p_7;p_8;p_9;p_10;p_11;p_12;p_13;p_14;p_15;p_16;p_17;p_18;p_19;p_20;p_21;p_22;p_23;p_24;p_25;p_26;p_27;p_28;p_29;p_30;p_31;p_32;p_33;p_34;p_35
4,777425;4,791118;4,934638;4,593568;4,257361;4,567026;4,783457;4,395678;4,64635;4,572728;4,696092;4,866327;4,846827;4,857597;4,656678;4,777527;4,753256;4,742857;4,815809;4,828495;4,788386;4,669901;4,666955;4,841414;4,347668;4,78753;4,888863;4,501296;4,37115;4,695884;5,081707;5,085829;4,891203;4,879911;4,367484
4,842172;4,843197;4,962193;4,62938;4,29286;4,623181;4,809068;4,417433;4,705276;4,620353;4,734935;4,897881;4,86462;4,922604;4,67324;4,81885;4,801143;4,760288;4,860411;4,907609;4,809187;4,687169;4,681769;4,897102;4,365271;4,83317;4,945889;4,535274;4,397666;4,728661;5,160606;5,143678;4,934157;4,913957;4,383559
4,877896;4,854916;4,959536;4,595116;4,292865;4,66285;4,766672;4,401065;4,72583;4,658695;4,690638;4,872791;4,859497;4,945657;4,641037;4,816009;4,804703;4,762808;4,88161;4,911247;4,789657;4,657047;4,661758;4,89347;4,329981;4,80193;4,962697;4,559313;4,414607;4,718534;5,168647;5,136053;4,941492;4,921522;4,355062
4,871411;4,845244;4,795846;4,520982;4,261852;4,654961;4,590451;4,331876;4,69484;4,614305;4,606831;4,822091;4,802264;4,93749;4,558575;4,78838;4,751695;4,719461;4,833508;4,895752;4,726105;4,575881;4,595491;4,848859;4,243478;4,725851;4,939571;4,52387;4,371808;4,678612;5,144392;5,074841;4,857787;4,846701;4,293358
4,806596;4,76607;4,352748;4,375263;4,154286;4,603012;4,34414;4,197297;4,583277;4,54572;4,413498;4,686251;4,70184;4,860248;4,400157;4,702911;4,670337;4,621144;4,687167;4,798655;4,559813;4,350882;4,480474;4,74565;4,086359;4,531596;4,827069;4,452101;4,277324;4,535559;5,040325;4,844636;4,65419;4,612091;4,160902
4,691244;4,618911;4,158306;4,101212;3,970861;4,408662;4,280912;3,953147;4,41924;4,421334;4,108685;4,46217;4,530222;4,719697;4,103551;4,545551;4,528886;4,468476;4,424021;4,575083;4,256291;4,068451;4,258848;4,546376;3,802258;4,25846;4,569262;4,263578;4,089564;4,259776;4,798316;4,574042;4,403554;4,390992;3,93354
4,41018;4,300831;4,043631;3,827085;3,711974;4,127092;4,268559;3,715991;4,111852;4,164285;3,928458;4,178927;4,192419;4,453277;3,928521;4,237146;4,268324;4,171055;4,277172;4,351749;4,03194;3,912906;3,947835;4,244027;3,652678;4,143798;4,314684;3,964991;3,799982;4,031072;4,517356;4,492225;4,293819;4,2928;3,700889
4,161129;4,098739;3,9792;3,705795;3,584217;3,942633;4,248066;3,594566;3,842061;3,908094;3,835463;4,047093;3,942488;4,154233;3,836424;4,021767;3,943813;3,889472;4,221386;4,253579;3,937533;3,843288;3,804209;4,065499;3,562564;4,069448;4,187321;3,804777;3,637511;3,935519;4,388597;4,447186;4,255236;4,259912;3,567178
4,028814;4,007115;3,922032;3,626835;3,531089;3,846439;4,246202;3,523645;3,696561;3,778642;3,772844;3,970939;3,79652;3,995298;3,773368;3,88851;3,779606;3,717748;4,185192;4,205132;3,86652;3,790144;3,731755;3,964526;3,500865;4,019154;4,118467;3,732595;3,54543;3,885701;4,32381;4,435123;4,23332;4,237069;3,491121
3,938412;3,94565;3,858484;3,549375;3,489438;3,783947;4,239619;3,452572;3,602883;3,683523;3,71311;3,907365;3,709585;3,904544;3,731508;3,807744;3,67726;3,606151;4,165445;4,163285;3,828192;3,739667;3,656214;3,898479;3,454956;3,984308;4,072266;3,681911;3,484757;3,841714;4,278769;4,408675;4,210067;4,216484;3,434226
3,896458;3,900845;3,807619;3,507427;3,472575;3,743085;4,22984;3,410014;3,518467;3,610418;3,669857;3,874808;3,632077;3,855713;3,689625;3,73677;3,593879;3,536964;4,141308;4,136949;3,789803;3,705096;3,594568;3,840918;3,401387;3,935695;4,031045;3,633525;3,433244;3,809951;4,232482;4,397083;4,189478;4,192073;3,392741
3,837659;3,848756;3,759183;3,447124;3,453341;3,713638;4,203671;3,372764;3,448582;3,548077;3,626159;3,844392;3,578239;3,799382;3,644838;3,698584;3,52399;3,437913;4,106931;4,118127;3,740873;3,664409;3,562826;3,812223;3,371839;3,899563;3,988858;3,598207;3,388628;3,762036;4,192318;4,36954;4,176835;4,165074;3,339149
3,797384;3,782642;3,719906;3,416244;3,418154;3,676947;4,186862;3,322021;3,380136;3,486348;3,585933;3,81484;3,525187;3,741526;3,611101;3,664202;3,464471;3,37088;4,089744;4,093487;3,706771;3,61379;3,535909;3,787478;3,321825;3,858489;3,961398;3,562733;3,352656;3,718417;4,148346;4,339585;4,150212;4,14155;3,298551
3,757585;3,743043;3,681443;3,354755;3,385768;3,631488;4,151168;3,280795;3,305118;3,449816;3,542782;3,795973;3,460771;3,68844;3,57157;3,616388;3,39315;3,300552;4,047104;4,084957;3,668422;3,566338;3,489536;3,730864;3,275343;3,834041;3,938792;3,522645;3,313603;3,67768;4,118214;4,318582;4,120946;4,103631;3,24708
3,709377;3,67659;3,6443;3,30162;3,347445;3,581126;4,102651;3,22275;3,248836;3,412897;3,488588;3,731937;3,409845;3,636942;3,537218;3,547601;3,339605;3,247801;4,011438;4,055084;3,62484;3,520773;3,438449;3,695495;3,233376;3,788894;3,906169;3,485817;3,262197;3,635667;4,086424;4,277333;4,084139;4,077397;3,202924
3,666631;3,64344;3,602182;3,267196;3,308986;3,524546;4,06245;3,174126;3,202702;3,359156;3,450166;3,688256;3,35189;3,605112;3,500435;3,468089;3,281109;3,186755;3,97685;4,006147;3,588378;3,467932;3,381332;3,634988;3,178336;3,753815;3,862895;3,433586;3,212864;3,598852;4,057369;4,237319;4,033213;4,04544;3,151155
3,622145;3,605635;3,542886;3,211787;3,253671;3,470808;3,990952;3,125107;3,166865;3,322929;3,394737;3,630946;3,299715;3,550237;3,441565;3,405387;3,224439;3,132653;3,928742;3,946958;3,529895;3,441439;3,329161;3,581129;3,137303;3,713446;3,81662;3,383198;3,173121;3,56088;4,018157;4,183226;3,987344;3,993097;3,115345
3,578203;3,551622;3,480146;3,166842;3,216685;3,439905;3,923257;3,069556;3,124607;3,258706;3,337709;3,562039;3,238151;3,509221;3,391228;3,356615;3,168158;3,088057;3,873564;3,863387;3,476978;3,402571;3,273869;3,534452;3,085185;3,661232;3,758897;3,33418;3,115077;3,526608;3,96164;4,120852;3,92534;3,93408;3,069886
3,525197;3,503735;3,407629;3,11425;3,172367;3,392471;3,817412;3,00258;3,087508;3,211529;3,280219;3,494845;3,193974;3,465232;3,324668;3,313872;3,133792;3,043617;3,801664;3,789914;3,41597;3,34609;3,225312;3,483637;3,029531;3,590414;3,703898;3,278042;3,063902;3,466878;3,898761;4,045313;3,841089;3,851213;3,010396
3,471075;3,430774;3,337505;3,051102;3,128161;3,320565;3,693177;2,961345;3,013064;3,154942;3,221484;3,446544;3,143876;3,418159;3,260483;3,282465;3,082429;2,997803;3,706386;3,724377;3,362551;3,283448;3,153982;3,43212;2,948065;3,515728;3,639853;3,2223;3,007802;3,399338;3,828638;3,962798;3,763491;3,754263;2,947687
3,393451;3,350913;3,257223;2,97899;3,049808;3,246332;3,55614;2,891675;2,950314;3,097048;3,149018;3,375201;3,083847;3,359266;3,180139;3,230015;3,027513;2,952379;3,616473;3,646187;3,282469;3,199776;3,093599;3,365232;2,893848;3,417754;3,583271;3,15761;2,937838;3,316769;3,758196;3,863806;3,652337;3,655187;2,899351
3,323815;3,27123;3,172579;2,909608;2,977847;3,13854;3,398582;2,830561;2,894025;3,047971;3,038118;3,287761;3,034847;3,273867;3,084525;3,16625;2,960736;2,874557;3,506544;3,550171;3,209565;3,118647;3,009718;3,299012;2,80531;3,335788;3,502058;3,081367;2,877765;3,232335;3,680147;3,733706;3,530102;3,543774;2,813632
3,235386;3,179132;3,052026;2,845995;2,868896;3,039011;3,224632;2,737583;2,813681;2,956383;2,95387;3,163295;2,960162;3,202129;2,982085;3,081978;2,896903;2,820115;3,382546;3,442791;3,104557;3,027372;2,909033;3,186202;2,729758;3,225004;3,397375;2,992213;2,818689;3,135557;3,589337;3,576957;3,397363;3,403145;2,762213
3,148786;3,099409;2,914057;2,740906;2,754448;2,940294;3,022388;2,654398;2,7652;2,875317;2,851826;3,028757;2,883618;3,116689;2,87621;2,962281;2,821533;2,772202;3,251609;3,291737;2,980773;2,930571;2,815563;3,108006;2,646312;3,091706;3,292484;2,907555;2,745492;3,019808;3,489617;3,403641;3,243023;3,257404;2,657097
3,033586;2,972907;2,750704;2,660387;2,625818;2,817361;2,772937;2,54012;2,685189;2,762569;2,733418;2,874663;2,780762;3,007606;2,739362;2,851368;2,743472;2,717581;3,08217;3,117625;2,839027;2,790291;2,696208;2,991787;2,514168;2,948664;3,171572;2,790806;2,647711;2,86941;3,334249;3,224706;3,030571;3,064425;2,554812
2,905609;2,838847;2,549522;2,50667;2,448547;2,671892;2,429029;2,406416;2,59327;2,639864;2,572653;2,71682;2,687697;2,8999;2,583327;2,735924;2,657491;2,620428;2,867256;2,926389;2,685855;2,616207;2,542485;2,853277;2,378587;2,777814;2,991191;2,670427;2,522588;2,705614;3,174853;2,977272;2,758877;2,834682;2,443619
2,765033;2,675189;2,277836;2,348938;2,228015;2,496364;2,131163;2,256392;2,474521;2,499674;2,347203;2,498231;2,572999;2,762428;2,35845;2,600551;2,530778;2,521894;2,588861;2,716952;2,473124;2,364599;2,342892;2,700906;2,197041;2,547294;2,783746;2,499938;2,379753;2,488837;2,980206;2,651243;2,455424;2,510005;2,272507
2,566486;2,468628;2,026303;2,146462;1,971444;2,27251;1,901932;2,051107;2,308285;2,303225;2,059093;2,237643;2,39648;2,555373;2,077394;2,428929;2,409596;2,343075;2,226291;2,428128;2,175703;2,077611;2,098627;2,503051;1,915027;2,262924;2,535717;2,289085;2,202532;2,204674;2,724867;2,346947;2,17239;2,185248;2,058987
