;p_1;sin;sin t³umiony
165;0,1463599;-0,833511253;-0,871460144
166;-0,03912628;-1,10695618;-1,097182345
167;-0,2185424;-1,376655517;-1,318618113
168;-0,4249204;-1,641696688;-1,535021094
169;-0,6510804;-1,901182877;-1,74566393
170;-0,8572012;-2,154236065;-1,949840706
171;-1,133377;-2,4;-2,146869308
172;-1,383618;-2,637643095;-2,336093707
173;-1,630956;-2,86636124;-2,51688614
174;-1,880265;-3,085380526;-2,688649189
175;-2,10421;-3,293959862;-2,850817756
176;-2,353492;-3,49139348;-3,002860917
177;-2,594717;-3,677013327;-3,144283658
178;-2,821684;-3,850191325;-3,274628482
179;-3,013458;-4,010341495;-3,393476886
180;-3,199691;-4,156921938;-3,500450698
181;-3,356989;-4,289436674;-3,595213273
182;-3,484399;-4,407437313;-3,677470547
183;-3,619802;-4,51052458;-3,74697194
184;-3,714741;-4,598349659;-3,803511104
185;-3,809095;-4,670615379;-3,846926528
186;-3,865233;-4,727077214;-3,877101978
187;-3,858197;-4,767544117;-3,893966785
188;-3,782341;-4,79187916;-3,897495977
189;-3,6062;-4,8;-3,887710251
190;-3,492558;-4,79187916;-3,864675792
191;-3,466357;-4,767544117;-3,828503933
192;-3,453817;-4,727077214;-3,779350667
193;-3,453286;-4,670615379;-3,717416
194;-3,442672;-4,598349659;-3,642943159
195;-3,424132;-4,51052458;-3,556217653
196;-3,390973;-4,407437313;-3,457566194
197;-3,348218;-4,289436674;-3,347355471
198;-3,301677;-4,156921938;-3,225990804
199;-3,246041;-4,010341495;-3,093914653
200;-3,177892;-3,850191325;-2,951605017
201;-3,081342;-3,677013327;-2,799573707
202;-2,961571;-3,49139348;-2,638364512
203;-2,839243;-3,293959862;-2,468551255
204;-2,683721;-3,085380526;-2,290735755
205;-2,520695;-2,86636124;-2,105545699
206;-2,344247;-2,637643095;-1,913632425
207;-2,12394;-2,4;-1,715668637
208;-1,847058;-2,154236065;-1,512346045
209;-1,542428;-1,901182877;-1,304372951
210;-1,29002;-1,641696688;-1,092471785
211;-1,07593;-1,376655517;-0,877376589
212;-0,8843918;-1,10695618;-0,659830484
213;-0,6626679;-0,833511253;-0,440583094
214;-0,4121087;-0,557245988;-0,220387971
215;-0,1924312;-0,279095179;-1,84654E-15
;;;
;;;
sum ;66,64506461;-6,77236E-14;17,65162255
