uaX; uaY; uaZ; gX; gY; gZ
3,634811; 0,002931774; -2,345361; -14,48547; 0,9899868; -13,69768
3,560791; 0,05119061; -2,404624; -14,7468; -2,056273; -13,97617
3,50176; 0,0931734; -2,401031; -13,9075; -4,909877; -14,76206
3,437732; 0,124394; -2,352337; -12,54174; -7,830243; -15,79592
3,384413; 0,1660696; -2,243365; -11,26563; -10,6476; -16,61805
3,342111; 0,1955236; -2,093553; -10,86124; -13,58704; -17,19601
3,256369; 0,231836; -1,940769; -11,19505; -16,71914; -17,3715
3,15219; 0,2704338; -1,739387; -12,08967; -19,87031; -17,3715
3,029037; 0,3029955; -1,567538; -13,20745; -22,54843; -17,32
2,868462; 0,3366311; -1,399282; -13,57369; -25,22654; -17,61566
2,715122; 0,3724006; -1,17092; -13,47069; -27,87032; -18,06964
2,499935; 0,3911623; -0,9369023; -13,01671; -30,46069; -18,75253
2,218324; 0,3867106; -0,7102218; -11,54603; -33,01482; -19,85505
1,973732; 0,37756; -0,3403215; -9,775882; -35,4297; -21,15024
1,789643; 0,3820093; -0,05858771; -8,412027; -37,91516; -22,2871
1,624115; 0,3696919; 0,2531414; -6,618224; -40,3228; -23,71696
1,453755; 0,3660659; 0,6362507; -5,314265; -42,69342; -24,79164
1,283297; 0,350426; 0,9755719; -4,896524; -44,65432; -25,38486
1,099007; 0,3400849; 1,276004; -4,667626; -46,40158; -25,94567
0,8932667; 0,3148341; 1,51408; -3,860758; -47,99624; -26,68005
0,6812048; 0,2884562; 1,744935; -1,621366; -49,29143; -27,69484
0,4817989; 0,2492408; 2,029472; 1,299; -50,93568; -28,92135
0,2566872; 0,1991106; 2,391831; 3,017648; -52,38728; -29,79498
0,02102494; 0,1555454; 2,665951; 3,521225; -53,38681; -30,39202
-0,2436543; 0,1007484; 2,900708; 3,591802; -54,03345; -30,91467
-0,5124584; 0,04028182; 3,046769; 4,293758; -54,40159; -31,66813
-0,7741094; -0,0383995; 3,167162; 6,409164; -54,6095; -32,66575
-1,039576; -0,1220011; 3,276453; 10,35004; -54,75066; -34,01435
-1,298385; -0,2149131; 3,568294; 12,76301; -54,64766; -34,83648
-1,607082; -0,3293138; 3,676309; 14,02233; -54,15438; -35,25345
-1,917623; -0,439563; 3,845215; 14,49692; -53,61189; -35,60519
-2,184668; -0,5519251; 3,829564; 13,90178; -52,66959; -35,55369
-2,456075; -0,6595089; 3,786838; 15,28471; -51,8818; -35,90467
-2,711666; -0,7801461; 3,777789; 17,22463; -50,77736; -36,32432
-2,954072; -0,8904834; 3,730211; 19,20651; -49,25709; -36,69246
-3,186577; -1,010178; 3,657743; 21,39058; -47,61093; -37,19986
-3,381094; -1,136839; 3,588687; 23,54414; -45,84459; -37,6195
-3,57049; -1,259644; 3,539481; 24,71724; -44,1641; -37,70915
