uaX; uaY; uaZ; gX; gY; gZ
-5,69117; -0,9977396; -3,753955; 20,40823; -29,12545; 4,587511
-5,339035; -1,09364; -4,200175; 19,13021; -25,31047; 3,414406
-5,046885; -1,170075; -4,575194; 18,53316; -21,89607; 2,922273
-4,83296; -1,243116; -4,867419; 18,56941; -18,06583; 2,784934
-4,626304; -1,309092; -5,147248; 18,69339; -14,09253; 2,767767
-4,456238; -1,36845; -5,343577; 18,35958; -11,04627; 2,466383
-4,348999; -1,42148; -5,474635; 17,43254; -7,948507; 1,470674
-4,240272; -1,474466; -5,583832; 16,15453; -4,86982; 0,1430617
-4,128648; -1,530169; -5,668335; 14,89558; -2,014309; -1,278018
-4,075937; -1,584786; -5,694679; 13,54508; 0,799238; -2,536961
-4,034842; -1,626006; -5,668177; 12,5303; 3,618507; -3,534577
-4,036128; -1,665609; -5,571668; 11,3549; 7,251511; -4,623754
-4,069489; -1,701236; -5,436371; 10,22414; 10,43015; -5,501199
-4,140215; -1,707869; -5,226511; 8,472304; 12,91904; -6,69605
-4,21749; -1,714828; -4,944488; 6,345581; 16,42475; -8,278502
-4,2579; -1,731267; -4,727122; 3,824134; 19,17866; -10,02576
-4,356903; -1,742187; -4,419494; 1,699573; 21,57561; -11,34002
-4,462488; -1,735672; -4,048264; 0,3319031; 24,91562; -11,88175
-4,566316; -1,712934; -3,637323; -0,6294714; 29,31048; -12,21556
-4,567878; -1,656524; -3,162629; -1,697665; 32,40824; -12,42538
-4,460815; -1,562023; -2,654334; -4,059137; 35,29809; -13,58132
-4,26646; -1,393215; -1,986674; -7,139732; 36,81836; -15,62806
-4,174289; -1,278446; -1,470796; -9,871256; 38,88607; -17,85028
-4,115721; -1,231149; -0,8797519; -10,98905; 39,61855; -18,72582
-4,132965; -1,117955; -0,152087; -11,84742; 45,27425; -19,05772
-4,128933; -1,014301; 0,6531075; -14,43435; 46,69076; -20,52764
-4,043059; -0,9473436; 1,488405; -17,41347; 51,62429; -22,38438
-4,066907; -0,8351989; 1,880055; -19,09206; 56,35104; -23,69674
-4,077569; -0,7237576; 2,899467; -21,78734; 54,37298; -25,48215
-3,731279; -0,6664569; 3,171432; -21,49168; 62,79073; -25,58515
-3,710761; -0,5174934; 4,070787; -20,81071; 64,17366; -25,30666
-3,261406; -0,4013636; 4,914361; -25,02626; 65,29336; -27,24848
-3,036189; -0,3267872; 5,118367; -26,2337; 71,47171; -28,23084
-2,850975; -0,1642936; 5,804315; -26,58467; 67,49841; -28,89465
-2,575335; -0,03372476; 6,478114; -28,2976; 71,48888; -30,13642
-2,036206; 0,1069508; 6,883932; -29,68434; 74,46456; -31,13404
-1,623021; 0,2351235; 7,146905; -30,50457; 77,38684; -31,6586
-1,162194; 0,3939919; 7,720741; -32,07825; 72,92331; -32,74587
-0,5415684; 0,5270703; 7,808198; -32,97095; 72,64291; -34,04105
-0,07567799; 0,6737517; 8,105757; -30,57514; 76,00581; -34,05631
0,331608; 0,9062369; 8,600122; -32,65011; 75,51978; -35,24277
0,8927484; 1,096239; 8,781054; -39,84936; 75,77882; -38,04678
1,650407; 1,208839; 8,302359; -41,44402; 72,8184; -38,97572
2,222806; 1,346102; 7,997876; -34,93375; 71,24472; -37,90562
2,496913; 1,613081; 8,516451; -32,8317; 70,40543; -38,11736
2,90885; 1,786824; 8,438279; -37,97811; 68,21562; -39,65861
3,332705; 1,95141; 8,302696; -43,77115; 66,16888; -41,30286
3,960498; 2,09642; 7,55836; -45,65957; 64,40065; -41,75875
