uaX; uaY; uaZ; gX; gY; gZ
-0,01290813; 0,03119326; 0,1468749; 0,05150221; -0,04959472; -0,01907489
0,004297435; 0,03602505; 0,1498544; 0,01373392; -0,001525991; 0,02288987
-0,001889718; 0,03602133; 0,1373993; 0,0171674; 0,1049119; 0
-0,01061691; 0,03580773; 0,1361492; 0,05150221; 0,1220793; -0,01907489
-0,01059789; 0,03313231; 0,1412166; 0,1144493; 0,167859; 0,01271659
-0,007258075; 0,02723145; 0,1428743; 0,1373392; 0,2060088; 0,03662379
-0,005654305; 0,02873427; 0,1363294; 0,1030044; 0,3013833; -0,01907489
-0,00239294; 0,03369349; 0,1394405; 0,1564141; 0,2460661; 0
-0,01268616; 0,04115045; 0,1239753; 0,0343348; 0,2117313; 0
-0,004495017; 0,03554815; 0,143193; 0; 0,01907489; 0
-0,0110279; 0,02853423; 0,1347761; 0,0171674; -0,1201718; -0,01907489
-0,01119213; 0,02983636; 0,1455264; 0,0343348; -0,1907489; -0,03814978
0,003504194; 0,03988409; 0,1465976; -0,1430617; -0,2098238; -0,03814978
0,003156364; 0,03287125; 0,1453354; -0,0534097; -0,2269912; 0,03814978
-0,01093821; 0,03494513; 0,1470444; -0,03624229; -0,3147357; 0
-0,01587105; 0,03645432; 0,1403704; -0,1430617; -0,4177401; -0,05531719
0,003557324; 0,02989316; 0,1360006; -0,1945639; -0,5035772; -0,1068194
0,01174484; 0,02769899; 0,1477466; -0,0705771; -0,3834053; -0,07248458
-0,00420896; 0,0353263; 0,142235; -0,03814978; -0,1735815; -0,05531719
-0,01109169; 0,03629947; 0,1369747; -0,01373392; 0,1525991; -0,03814978
-0,01429156; 0,03661998; 0,1311725; 0,1201718; 0,3700529; -0,01907489
-0,01786137; 0,03220906; 0,1362713; 0,1373392; 0,4387225; 0
-0,01129457; 0,03427279; 0,1438196; 0,08583701; 0,2460661; -0,01907489
0,003003009; 0,038351; 0,1336806; -0,0171674; 0,1392467; -0,01907489
-0,004593551; 0,03635913; 0,1367218; 0,05150221; 0,0534097; 0,01907489
-0,01437965; 0,03858387; 0,1379669; 0; -0,01525991; -0,01907489
-0,01053068; 0,04365718; 0,1326535; 0,0171674; -0,03242732; 0
-0,001690149; 0,03452468; 0,1350756; -0,0171674; -0,08392952; 0,01907489
-0,001545221; 0,03225976; 0,1386271; -0,03624229; -0,1373392; 0,01907489
-0,005731113; 0,03026104; 0,1313396; -0,0705771; -0,171674; 0,01907489
-0,009656154; 0,0274713; 0,1264963; 0; -0,1354317; -0,01907489
-0,01201104; 0,04131168; 0,1330693; -0,03624229; -0,08392952; -0,0171674
-0,00608521; 0,03885937; 0,131882; -0,03624229; -0,1182643; -0,1583216
-0,007936679; 0,03923833; 0,1450996; 0,0171674; -0,1010969; -0,175489
0,004335083; 0,0233534; 0,1366484; -0,0171674; -0,04959472; -0,1068194
-0,01454392; 0,02861171; 0,1330118; 0,06866961; -0,01525991; -0,09308547
-0,02124874; 0,03944981; 0,1301; -0,001907489; -0,04959472; -0,05531719
-0,01532959; 0,04934675; 0,1337686; -0,0171674; -0,03242732; -0,01907489
0,002549097; 0,03644055; 0,1344352; 0,0343348; -0,01525991; 0
-0,005293362; 0,03568572; 0,1326702; 0,0171674; -0,01525991; 0,01907489
-0,01458723; 0,0257588; 0,1278353; -0,0343348; -0,03242732; -0,01907489
-0,006738134; 0,02887076; 0,1367929; 0,0343348; -0,08392952; -0,01907489
-0,00766208; 0,03910881; 0,1289873; 0,0171674; -0,1525991; -0,05531719
-0,008467652; 0,0412063; 0,1308401; -0,06866961; -0,171674; -0,07248458
-0,01298176; 0,02984577; 0,1230435; -0,07248458; -0,2288987; -0,1068194
-0,003742665; 0,0269587; 0,1300688; -0,1068194; -0,1354317; -0,1239868
-0,009355821; 0,03404677; 0,1425285; -0,1068194; -0,171674; -0,2269912
-0,01418895; 0,046534; 0,13117; 0,05150221; -0,2079163; -0,436815
-0,004103057; 0,04582769; 0,1211381; -0,01907489; -0,1010969; -0,1239868
-0,004834831; 0,03146398; 0,1343052; -0,03624229; -0,04959472; 0
-0,002814852; 0,03264976; 0,1289079; 0; -0,1182643; 0
-0,009581879; 0,0287022; 0,130048; 0; -0,08392952; -0,01907489
-0,00783655; 0,02904162; 0,1329937; 0,01373392; -0,09766344; -0,03662379
-0,002704263; 0,03860015; 0,1323667; -0,0705771; -0,171674; -0,03814978
0,007043421; 0,0423525; 0,1318307; 0,0171674; -0,1564141; -0,01907489
0,00229799; 0,03038049; 0,1210358; -0,0171674; -0,08392952; -0,03814978
-0,01082927; 0,03169841; 0,1287951; 0; 0,03624229; -0,01907489
-0,0165239; 0,0294503; 0,1245813; 0,0343348; -0,1373392; -0,05531719
-0,00352966; 0,03532857; 0,1269946; -0,0171674; -0,1182643; -0,03814978
-0,007330321; 0,03009504; 0,1317453; -0,0343348; -0,1010969; -0,03624229
-0,008944869; 0,03598714; 0,1281784; 0,0171674; 0,01907489; 0,01907489
0,0001029149; 0,03346598; 0,1276083; 0,0171674; 0,01907489; -0,03814978
-0,00815428; 0,02509916; 0,1270101; 0,06866961; 0,01907489; -0,0534097
-0,004435815; 0,0293265; 0,125809; 0,08583701; -0,04959472; -0,01907489
-0,004109733; 0,02674311; 0,1222482; 0,06866961; -0,1010969; 0,01907489
-0,00425078; 0,03908312; 0,1246889; 0,0343348; -0,03242732; 0,01907489
-0,003801838; 0,02187347; 0,1378241; 0,0343348; -0,06676212; -0,03814978
-0,01248636; 0,02242798; 0,1311283; -0,0534097; 0,001907489; -0,05531719
-0,004017778; 0,02751201; 0,1226859; 0,0343348; -0,01525991; 0,01907489
-0,0006052107; 0,03094202; 0,1322954; 0,06866961; -0,03242732; -0,05531719
-0,007567704; 0,03687835; 0,130513; -0,01373392; 0,0534097; -0,007629957
-0,01242561; 0,03314501; 0,1281672; 0,06866961; 0,01907489; -0,07248458
-0,009733297; 0,02757478; 0,127017; 0,08583701; -0,06676212; -0,01907489
-0,001667872; 0,02511859; 0,131212; 0,0343348; -0,1182643; -0,05531719
-0,007231615; 0,02615935; 0,1269212; 0; -0,03242732; -0,08965199
-0,002852701; 0,04264766; 0,1311769; 0,0343348; 0,0705771; 0
-0,00667648; 0,03806436; 0,1204939; 0,0343348; 0,0534097; -0,05531719
-0,01398245; 0,03646272; 0,1211934; 0,0343348; 0,001907489; -0,07248458
-0,004351795; 0,02992195; 0,1229808; 0,0171674; -0,08392952; -0,03624229
-0,2155699; 0,2189866; 0,1225085; -0,4711498; -1,678591; -1,173106
0,4782428; -1,030231; 0,1948965; 7,401058; 21,45925; -1,751075
-0,0511813; -0,9241224; 0,1593935; 10,39582; 29,71868; -0,1926564
0,005377397; -0,8766478; -0,07266808; 0,8564626; 1,960899; -0,5970441
-0,07774222; -0,7593402; 0,1171331; -8,997627; -25,82931; -1,173106
-0,1089084; -0,6733846; 0,05530815; -5,531719; -16,53564; -4,249886
0,0392806; -0,7124024; 0,2700981; 5,389292; 15,15309; -6,569393
0,09113155; -0,6032023; 0,02090912; 7,02719; 19,09626; -6,294714
0,03876148; -0,6246619; 0,03956962; -0,701956; -2,485458; -5,739635
-0,03961406; -0,5158771; 0,08192849; -5,972348; -17,18457; -5,915124
-0,01184081; -0,4640095; 0,161721; -3,551745; -10,14784; -6,721992
0,06117068; -0,4620229; 0,07313275; 2,588463; 7,0043; -6,441591
0,05527002; -0,409209; 0,05100751; 6,632339; 18,01051; -5,793044
0,1078992; -0,5100768; -0,01356149; 1,241775; 3,605154; -5,075829
-0,004666321; -0,3743435; 0,1250746; -5,131146; -15,80164; -4,444449
0,04542462; -0,4612264; 0,004726171; -3,956132; -11,47927; -4,936582
0,06295121; -0,371169; 0,1048265; 4,303296; 11,76348; -4,970917
0,1045137; -0,253704; 0,09009528; 6,491186; 19,63951; -3,990467
0,1061711; -0,2952133; -0,08545232; 1,030044; 4,095379; -2,731524
0,02792897; -0,3124731; 0,1246467; -4,028617; -12,31856; -2,273727
0,01207074; -0,4006017; -0,05146813; -4,377687; -12,54746; -2,571295
0,05663804; -0,3688407; 0,09913349; 0,1373392; 0,3341921; -2,737628
0,02719608; -0,2748908; 0,06409335; 4,572887; 13,19219; -2,461933
0,04949822; -0,2797135; -0,01368809; 0,7828336; 1,286411; -1,910541
-0,01890437; -0,2579266; 0,129138; -5,180741; -14,35004; -1,384837
0,009580903; -0,251235; -0,01463461; -2,733432; -9,903684; -1,941824
0,00534378; -0,2484217; -0,1025934; 1,924656; 4,70959; -2,206965
0,08881676; -0,3134938; 0,03144455; 5,039587; 14,26611; -1,749168
0,03392111; -0,1836728; 0,06734991; 1,505009; 4,396762; -0,350978
0,02467958; -0,1695494; -0,0005133152; -1,209348; -3,813071; 0,03624229
0,01138794; -0,1818507; 0,08492064; -2,958516; -6,405348; 0,3490705
0,02582777; -0,2297882; -0,03798962; -1,907489; -3,814978; 0,436815
0,01561321; -0,24504; 0,1927226; -0,2288987; -1,2227; 0,9270398
0,04290501; -0,207529; -0,1371045; 3,305679; 8,661908; 1,083454
0,06412424; -0,07964689; 0,1039371; 3,832145; 11,3076; 1,905582
0,05853255; -0,1064819; 0,0306139; -0,4024802; 0,91178; 3,010018
0,007401817; -0,1217517; -0,09865046; -4,568437; -15,32858; 4,148788
-0,07644378; -0,1326357; -0,2406546; -2,994758; -10,2909; 3,202674
0,0114384; -0,1111537; 0,3418124; 2,639965; 8,122089; 1,958991
0,01975216; -0,1064012; 0,08062515; 5,713312; 14,62815; 2,443112
0,03843042; -0,1154584; -0,1414819; 0,8717226; 3,080595; 2,573203
0,02062405; -0,07423466; -0,04922295; -4,448265; -11,96949; 2,485458
-0,03400721; -0,08225101; 0,08077455; -3,729141; -10,6724; 2,170723
-0,05251595; -0,1526174; 0,0008363724; -1,348595; -4,654274; 1,381022
-0,02400061; -0,1110877; 0,1209755; 3,58608; 9,051036; 0,5760617
0,02779535; -0,06318209; -0,1540842; 5,615648; 16,82024; -1,667649E-09
-0,007512376; 0,04310793; 0,1558375; 2,832621; 4,95375; 0,1239868
-0,001481459; -0,02492496; -0,1890163; -4,812595; -11,95042; -0,2079163
-0,05354417; 0,07334062; 0,120935; -6,460666; -18,8479; -1,119696
0,004981477; -0,2671431; -0,5241807; 3,675732; -7,963768; -2,082978
0,05691469; -0,08126351; 0,4557866; 9,659525; 19,89893; -2,399621
0,07023527; -0,04335836; 0,04966855; 9,098722; 16,01528; -1,100621
0,09043833; -0,02444118; -0,1370173; -1,033859; -7,90845; 0,8392953
0,001876079; -0,0881786; -0,08773589; -6,721992; -24,25754; 2,556036
-0,0932842; 0,01448691; 0,2412989; 0,7263719; -4,103391; 1,938009
0,05174891; -0,01393966; -0,08627796; 6,579566; 13,30919; 1,22588
0,01904051; -0,06462179; 0,2596365; 1,832716; 19,44571; 2,595711
-0,03952521; 0,005077183; -0,3614079; -2,363379; -3,00811; 2,153555
-0,02977458; -0,02304453; -0,1631167; -5,077736; -15,05009; 0,9957094
0,06720696; -0,01361516; 0,1501949; 0,5398194; 2,206965; 1,312353
0,0295404; 0,1129453; 0,1469896; 4,934674; 11,13211; 2,309969
-0,01452827; 0,0801158; -0,04876852; -1,035767; -1,697665; 3,51741
0,0002507716; 0,1005028; -0,007487059; -3,521225; -8,942308; 3,656657
-0,02540367; 0,02815917; 0,1757298; -0,8774449; -1,136863; 3,868388
0,02700432; -0,01208946; -0,1249738; 0,0152599; 3,536485; 3,237009
0,03737549; -0,01571053; 0,0217154; 4,146881; 7,42204; 3,956132
-0,02412947; 0,05975503; -0,1735141; 2,205057; 3,95804; 4,270868
-0,04059605; 0,02762842; 0,1808772; -0,9995243; -9,711028; 3,797811
-0,02009009; -0,04572362; -0,05929399; -4,114454; -13,7034; 3,378163
-0,005435362; -0,07020941; 0,1181202; 0,531045; 5,151747; 2,823084
0,08080777; -0,04716289; -0,1481583; 5,646168; 13,75427; 3,115566
0,02941407; 0,03628352; -0,08074741; 4,016409; 5,627856; 4,486414
0,002833977; 0,1114032; 0,09073591; -3,729141; -6,210785; 5,424899
0,02012607; -0,1054642; 0,1463141; -3,378163; -11,72343; 5,825472
0,04599493; -0,1317541; -0,01744938; 2,325229; -2,60563; 5,968534
0,04392589; -0,04187775; 0,1366363; 3,025278; 15,83979; 7,420133
0,3160273; -0,9270856; -7,432055; 16,74776; -15,73297; 9,012887
-0,186308; 0,2642516; 7,435194; 1,871247; -20,93088; 9,415366
-0,006965768; 0,3485261; -0,8963362; 0,3128282; -1,39819; 8,402489
0,05285609; -0,3554089; -6,691844; 38,55417; -4,181216; 8,522661
0,03314383; -1,19313; -9,653854; 110,5543; -5,825472; 7,629957
0,04018824; -1,752371; -9,857033; 154,4303; 3,662379; 6,771586
0,05361541; -2,396164; -9,255286; 163,7923; 4,097287; 6,773494
0,06052151; -2,92064; -9,056541; 163,0217; 4,516934; 6,948983
0,06142397; -3,431455; -8,83308; 162,024; 4,88508; 7,174067
0,06648017; -3,92874; -8,577488; 160,7823; 5,251318; 7,351463
0,06905326; -4,409039; -8,303326; 159,3841; 5,445882; 7,612789
0,1824719; -4,579521; -7,780817; 157,4747; 5,566053; 7,910357
-2,320287; 56,06173; 56,03645; -239,1381; -95,13412; 49,98384
-2,880078; 44,60543; 11,57244; -1374,216; -134,594; 81,89995
-2,388649; 4,522448; -39,42912; -731,503; 91,02538; 24,88701
-0,456763; 1,674715; -13,91335; 608,3593; 369,4539; -58,89182
0,8217609; 4,301955; -8,803638; 651,7471; 340,4029; -7,649031
-1,75405; 2,190944; 14,90875; 382,4192; -146,6935; 13,91513
2,899013; -1,737258; -2,521175; -77,49556; -846,868; -20,56464
0,493562; -1,175025; 10,5494; -202,0374; -709,256; 4,690516
-1,516014; 1,041149; 1,096387; -367,02; -373,0915; 69,97052
-2,513263; 6,469667; 9,040593; -338,688; 18,51791; 76,81268
3,715239; 0,01249236; -5,91809; 17,2189; 985,6226; -118,5867
6,920711; 0,1717387; -12,59031; 123,0865; 936,2681; -114,5981
-2,112257; -0,129213; 0,3724751; -9,783512; -585,6965; -40,81264
1,893752; -1,320153; 16,14392; 17,58705; -396,8378; -19,35529
0,01547754; -0,1014657; -5,659805; 58,73235; 179,2124; -2,45532
2,201382; 0,3075725; 1,425438; 7,161986; 206,4768; 16,97665
-0,2974584; 2,258755; 0,3545948; -100,4179; 14,11237; 28,11944
0,3577259; -0,8173691; 1,146626; 66,83651; -28,92707; -5,285652
-0,3896157; 1,63317; -0,4357483; 5,859807; -12,08967; -0,2441586
0,2337364; 0,5279058; 0,298557; -33,55083; 15,6643; 2,483551
-0,7609552; 0,2187485; 0,6312835; 9,081555; 14,47594; -0,2117313
-0,06151985; 0,6604882; -0,8254809; 3,059613; -24,90227; -0,1583216
-0,03449081; 0,4724003; 0,9921672; -4,043877; 15,96187; 0,4883172
-0,4841119; 0,4379373; -0,4653468; 1,207441; -3,656657; -0,0171674
0,02837949; 0,488741; 0,4227467; 0,4730574; -1,890322; 0,1049119
-0,3379167; 0,3694195; -0,03241682; -1,051027; 3,51741; 0,0343348
-0,05767605; 0,4370648; 0,1977053; 0,9957094; -3,164525; -0,0171674
-0,2164053; 0,3180672; 0,08880663; -0,6485463; 2,2413; 0,03814978
-0,1288716; 0,3709723; 0,1146705; 0,5760617; -1,434432; -0,05531719
-0,1397297; 0,2758827; 0,1267028; -0,4940397; 0,5455419; 0
-0,135453; 0,3107661; 0,1119399; 0,3834053; -0,2079163; -0,05531719
-0,1191587; 0,2609743; 0,1373179; -0,3338106; 0,07248459; -0,03814978
-0,1148222; 0,2641492; 0,08021183; 0,1525991; -0,350978; -0,06561762
-0,107273; 0,235205; 0,1637523; -0,3872203; 0,6676212; 0
-0,09807487; 0,21269; 0,08450413; 0,3814978; -0,7153084; 0
-0,1024514; 0,2276142; 0,1233251; -0,3147357; 0,526467; -0,01907489
-0,07186561; 0,1877308; 0,1393805; 0,2098238; -0,522652; -0,01907489
-0,0904801; 0,20212; 0,08363509; -0,1258943; 0,2975683; -0,01907489
-0,08047304; 0,180407; 0,1488094; 0,01525992; -0,1907489; -0,01907489
-0,0728967; 0,1747738; 0,103868; 0,1049119; -0,06676212; 0
-0,07332493; 0,1665307; 0,1343596; 0,05150221; 0,03624229; 0
-0,06549033; 0,1580146; 0,1073899; 0; -0,08392952; -0,01907489
-0,06324709; 0,1563137; 0,1163461; 0; 3,335299E-09; -0,0171674
-0,05109516; 0,1521833; 0,1085868; -0,0343348; -0,08392952; -0,05531719
-0,05076196; 0,1250664; 0,1235569; 0,08583701; -0,04959472; 0
-0,05874407; 0,1361598; 0,09469299; 0,04120177; -0,0869815; -0,02288987
-0,04013725; 0,1276125; 0,1589171; -0,04577974; 0,07629957; -0,03814978
