uaX; uaY; uaZ; gX; gY; gZ
0,00324614; 0,1893851; -0,1724705; -1,299; -19,83407; -2,601815
-0,1677132; 0,1968882; -0,1003406; 5,051031; -15,5117; -4,034339
-0,1106889; -0,02279538; 0,01030135; 11,45829; -7,111119; -4,123991
0,0428651; -0,173078; 0,1520588; 17,217; 1,499286; -0,780163
0,1409975; -0,05336349; 0,2842338; 21,45162; 9,865534; 4,856467
-0,1481391; 0,0283542; 0,4053991; 22,99096; 8,797339; 5,764432
-0,2188531; 0,07864115; 0,2988782; 21,58896; 1,411542; 1,26848
-0,08701307; 0,01854783; 0,5133884; 16,84694; -4,574159; -2,479736
-0,1562326; -0,08307913; 0,531796; 9,829291; -7,565102; -3,248454
-0,09569043; -5,375734E-05; 0,5018556; 2,880309; -9,213173; -2,916551
0,0555348; -0,02256287; 0,4137144; -2,664762; 3,460185; -1,216978
0,001154616; -0,04289955; 0,2270331; -5,817842; 13,61184; 3,017648
0,06509878; -0,1333136; 0,1795485; -4,896906; 7,790186; 4,028617
-0,07967089; -0,04539392; -0,01958008; -1,684313; -6,58656; 0,5493569
-0,1739144; 0,1088872; 0,05730947; 0,3967578; -11,29488; -2,332223
-0,1026948; 0,07617644; 0,1325607; 1,220793; -7,680314; -2,720843
-0,06361939; -0,06149575; 0,2861629; 1,394375; -0,8469251; -0,8831674
-0,04606205; -0,06947074; 0,1647949; 1,917027; 3,881741; 0,04196476
-0,06320861; -0,07588995; 0,1434007; 2,443494; 0,6390089; 0,02479736
-0,02571029; -0,05146931; 0,185756; 2,374824; -3,645212; -1,394374
0,1801763; -0,003641313; 0,1199408; 1,094899; -9,018608; -2,531238
0,08022559; -0,002361848; 0,04984665; -1,249405; -12,30903; -2,65141
-0,06118184; 0,04512599; 0,04716039; -3,769199; -8,825952; -1,865524
-0,0726032; 0,0167791; 0,1484179; -5,588943; -0,3376257; -0,167859
-0,2435546; -0,0420359; 0,1326327; -5,939921; 4,370058; 0,9022424
-0,3548088; -0,05497005; 0,2043281; -4,642828; -0,600859; -1,794947
-0,1722774; 0,03408849; 0,06988025; -3,315216; -0,3051983; -5,346692
0,1763694; 0,05745353; 0,05557179; -2,926088; -0,2517886; -4,997622
0,2437396; 0,001358783; -0,01326561; -2,446164; 7,32781; -0,08698148
-0,1284161; -0,01266387; -0,05954997; -0,5321895; 12,63139; 3,544115
-0,416293; -0,01966993; -0,184444; 1,938009; 5,063748; 1,915119
-0,1436042; 0,0413611; 0,1119232; 4,764145; -1,870865; -3,686795
